CRC32	lastAccessTime	lastModifiedTime	creationTime	rootFolder	subFolder0	subFolder1	subFolder2	subFolder3	subFolder4	subFolder5	subFolder6	subFolder7	subFolder8	subFolder9	fileName	fileExtension	celltype	measurementLocation	measurementPosition	measurementTime	cultureMedium	lens	~File location	
da51d833	2015-03-31, 10:51:22	2015-03-31, 10:51:22	2015-03-31, 10:51:22	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_1-15_300320150029	asc	BHK_570			50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_1-15_300320150029.asc	
f5b04086	2015-03-31, 10:51:22	2015-03-31, 10:51:22	2015-03-31, 10:51:22	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_1-15_300320150030	asc	BHK_570			50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_1-15_300320150030.asc	
b2ba306d	2015-03-31, 10:51:22	2015-03-31, 10:51:22	2015-03-31, 10:51:22	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_BG1_30032015	asc	BHK_570	BG		50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_BG1_30032015.asc	
12e1dae	2015-03-31, 10:51:22	2015-03-31, 10:51:22	2015-03-31, 10:51:22	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_BG2_30032015	asc	BHK_570	BG		50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_BG2_30032015.asc	
fdac02f2	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (1)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (1).asc	
f1c27c5f	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (10)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (10).asc	
2620fc07	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (11)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (11).asc	
85767aae	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (12)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (12).asc	
5294faf6	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (13)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (13).asc	
18aa71bd	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (14)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (14).asc	
5efa845b	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (2)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (2).asc	
89180403	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (3)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (3).asc	
c3268f48	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (4)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (4).asc	
14c40f10	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (5)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (5).asc	
b79289b9	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (6)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (6).asc	
607009e1	2015-03-31, 10:51:20	2015-03-31, 10:51:20	2015-03-31, 10:51:20	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHK_570_100oi	BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (7)	asc	BHK_570	_Cs	_Cs	50sec	1xCMC	100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHK_570_100oi\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (7).asc	
